# %ECSV 0.9
# ---
# datatype:
# - {name: meta_ID, datatype: int64}
# - {name: src_names, datatype: string}
# - {name: significance, datatype: float32}
# - {name: ra, datatype: float32}
# - {name: dec, datatype: float32}
# - {name: NEW_SOURCE, datatype: uint16}
# - {name: ISGRI_FLAG, datatype: int64}
# - {name: FLAG, datatype: int64}
# - {name: ERR_RAD, datatype: float64}
# meta: !!omap
# - {FRAME: fk5}
# - {LAT_NAME: dec}
# - {COORD_UNIT: deg}
# - {LON_NAME: ra}
# schema: astropy-2.0
meta_ID src_names significance ra dec NEW_SOURCE ISGRI_FLAG FLAG ERR_RAD
85 "IGR J17195-4100" 0.436705 259.9 -41.0149 0 2 0 0.000169999999343
86 "IGR J17197-3010" 0.0348226 259.929 -30.18 0 1 0 0.035000000149
87 "IGR J17198-3020" 0.98752 259.962 -30.342 0 1 0 0.0633300021291
88 "XTE J1720-318" 0.35487 259.975 -31.7489 0 1 0 0.00832999963313
89 "IGR J17200-3116" 0.307013 260.025 -31.2832 0 2 0 0.000280000007479
90 "IGR J17204-3554" 0.263944 260.091 -35.8801 0 2 0 0.000280000007479
91 "IGR J17219-1509" 0.0 0.0 0.0 0 1 0 0.070000000298
92 "IGR J17233-2837" 1.60842 260.845 -28.631 0 1 0 0.00110999995377
93 "IGR J17239-3143" 0.736956 260.972 -31.721 0 1 0 0.0816700011492
94 "IGR J17252-3616" 1.7351 261.297 -36.2831 0 1 0 0.00110999995377
95 "IGR J17254-3257" 0.834432 261.353 -32.9542 0 2 0 0.00054999999702
96 "IGR J17269-4737" 0.0 0.0 0.0 0 1 0 0.00221999990754
97 "4U 1722-30" 3.09186 261.888 -30.8019 0 2 0 0.000280000007479
98 "IGR J17285-2922" 1.91689 262.163 -29.3625 0 1 0 0.000969999993686
99 "IGR J17299-4404" 1.25827 262.486 -44.068 0 1 0 0.0716700032353
100 "IGR J17306-2015" 0.888328 262.601 -20.272 0 1 0 0.0130000002682
101 "IGR J17315-3221" 0.186718 262.818 -32.306 0 1 0 0.035000000149
102 "IGR J17314-2854" 0.0559498 262.854 -28.895 0 1 0 0.05333000049
103 "3A 1728-169" 0.0 0.0 0.0 0 2 0 0.000280000007479
104 "GX 354-0" 8.80015 262.986 -33.8332 0 2 0 0.000280000007479
105 "V2487 Oph" 0.343604 0.0 0.0 0 2 0 0.000280000007479
106 "GX 1+4" 4.26395 263.011 -24.7573 0 2 0 0.000280000007479
107 "IGR J17331-2406" 2.22472 263.304 -24.1561 0 1 0 0.0299999993294
108 "4U 1730-335" 0.158397 263.35 -33.3878 0 2 0 0.000280000007479
109 "IGR J17350-2045" 0.800346 263.579 -20.7588 0 2 0 0.000560000014957
110 "SWIFT J1734.5-3027" 0.203142 263.602 -30.3983 0 1 0 0.000969999993686
111 "IGR J17348-2045" 0.02734 263.745 -20.7586 0 1 0 0.00130000000354
112 "IGR J17353-3539" 0.93741 263.848 -35.6705 0 1 0 0.000969999993686
113 "IGR J17354-3255" 2.28426 263.865 -32.9318 0 2 0 0.000280000007479
114 "IGR J17361-4441" 0.172642 264.073 -44.735 0 2 0 0.000169999999343
115 "GRS 1734-292" 0.837566 264.368 -29.134 0 2 0 2.99999992421e-05
